position;name;cheke;perfomance;yearofprod;cpusocket;cpucore;numofcores,numofthreads;basefreq;turbofreq;cachel1;cachel2;cachel3;graphics;memorycontroller;pciecontroller;lithography;tdp;cpucategory
1358;Intel Core i5-10310U;;3983.17;2020;BGA1528;4 / 8;4 / 8;1700 MHz;4400 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 620300 - 1150 MHz;2 chann.LPDDR4-2933;PCI Express 3.016 lines;14 nm;15 W;мобильный
1359;Intel Core i7-4980HQ;;3964.29;2014;BGA1364;4 / 8;4 / 8;2800 MHz;4000 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1300 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1360;Intel Xeon E3-1280 v2;;3960.44;2012;LGA1155;4 / 8;4 / 8;3600 MHz;4000 MHz;4x32 + 4x32;256x4;8192;нет;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;69 W;серверный
1361;Intel Xeon Silver 4112;;3956.68;2017;LGA3647;4 / 8;4 / 8;2600 MHz;3000 MHz;4x32 + 4x32;4x1024;8448;нет;6 chann.DDR4-2400;PCI Express 3.048 lines;14 nm;85 W;серверный
1362;Intel Core i7-970;;3955.1;2010;LGA1366;6 / 12;6 / 12;3200 MHz;3460 MHz;32+32 x6;256x6;12288;нет;3 chann.DDR3-1066;нет;32 nm;130 W;десктопный
1363;Intel Xeon E-2276ML;;3949.09;2019;BGA1440;6 / 12;6 / 12;2000 MHz;4200 MHz;6x32 + 6x32;6x256;12288;Intel UHD Graphics P630350 - 1150 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;25 W;встраиваемый
1364;Intel Xeon E3-1275 v2;;3947.88;2012;LGA1155;4 / 8;4 / 8;3500 MHz;3900 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics P4000650 - 1250 MHz;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;77 W;серверный
1365;AMD Ryzen 5 3500U;;3941.28;2019;Socket FP5;4 / 8;4 / 8;2100 MHz;3700 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81200 MHz, 512 shaders;2 chann.DDR4-2400;PCI Express 3.012 lines;12 nm;15 W;мобильный
1366;Intel Core i7-3770;;3939.67;2012;LGA1155;4 / 8;4 / 8;3400 MHz;3900 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics 4000650 - 1150 MHz, 16 exec. units;2 chann.DDR3-1600;PCI Express 3.016 lines;22 nm;77 W;десктопный
1367;Intel Xeon E5-2430L v2;;3937.24;2014;LGA1356;6 / 12;6 / 12;2400 MHz;2800 MHz;6x32 + 6x32;256x6;15360;нет;3 chann.DDR3-1600;PCI Express 3.024 lines;22 nm;60 W;серверный
1368;AMD Opteron 6380;;3936.88;2012;Socket G34;16 / 16;16 / 16;2500 MHz;3400 MHz;16x16+8x64;8x2048;16384;нет;4 chann.LRDIMM-1333;нет;32 nm;115 W;серверный
1369;Intel Xeon E-2254ML;;3936.66;2019;BGA1440;4 / 8;4 / 8;1700 MHz;3500 MHz;4x32 + 4x32;4x256;8192;Intel UHD Graphics P630350 - 1100 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;25 W;встраиваемый
1370;Intel Xeon D-2123IT;;3936.08;2018;BGA2518;4 / 8;4 / 8;2200 MHz;3000 MHz;4x32 + 4x32;4x1024;8448;нет;4 chann.DDR4-2400;PCI Express 3.032 lines;14 nm;60 W;серверный
1371;AMD Ryzen 3 1300X;;3933.69;2017;Socket AM4;4 / 4;4 / 4;3500 MHz;3700 MHz;4x64+4x32;4x512;8192;нет;2 chann.DDR4-2667;PCI Express 3.024 lines;14 nm;65 W;десктопный
1372;Intel Core i7-1060NG7;;3928.65;2020;BGA1364;4 / 8;4 / 8;1200 MHz;3800 MHz;4x32 + 4x48;4x512;8192;Iris Plus Graphics G7300 - 1100 MHz, 64 ex.units;2 chann.LPDDR4-3733;PCI Express 3.014 lines;10 nm;10 W;мобильный
1373;Intel Core i7-4930MX;;3925.83;2013;PGA946;4 / 8;4 / 8;3000 MHz;3900 MHz;32+32x4;256x4;8192;Intel HD Graphics 4600400 - 1350 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;57 W;мобильный
1374;Intel Xeon E3-1290 v2;;3922.12;2012;LGA1155;4 / 8;4 / 8;3700 MHz;4100 MHz;4x32 + 4x32;256x4;8192;нет;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;87 W;серверный
1375;Intel Core i7-3770K;;3919.44;2012;LGA1155;4 / 8;4 / 8;3500 MHz;3900 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics 4000650 - 1150 MHz, 16 exec. units;2 chann.DDR3-1600;PCI Express 3.016 lines;22 nm;77 W;десктопный
1376;Intel Xeon E3-1245 v2;;3918.58;2012;LGA1155;4 / 8;4 / 8;3400 MHz;3800 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics P4000650 - 1250 MHz;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;77 W;серверный
1377;Intel Xeon E3-1270 v2;;3917.83;2012;LGA1155;4 / 8;4 / 8;3500 MHz;3900 MHz;4x32 + 4x32;256x4;8192;нет;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;69 W;серверный
1378;Intel Core i7-6700HQ;;3913.05;2015;BGA1440;4 / 8;4 / 8;2600 MHz;3500 MHz;4x32 + 4x32;4x256;6144;Intel HD Graphics 530350 - 1050 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;14 nm;45 W;мобильный
1379;Intel Xeon E5-2608L v3;;3911.4;2014;LGA2011-3;6 / 12;6 / 12;2000 MHz;нет;6x32 + 6x32;6x256;15360;нет;4 chann.DDR4-1866;PCI Express 3.040 lines;22 nm;50 W;встраиваемый
1380;Intel Xeon W3670;;3899.71;2010;LGA1366;6 / 12;6 / 12;3200 MHz;3460 MHz;6x32 + 6x32;256x6;12288;нет;3 chann.DDR3-1066;нет;32 nm;130 W;серверный
1381;Intel Core i7-4960HQ;;3891.86;2013;BGA1364;4 / 8;4 / 8;2600 MHz;3800 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1300 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1382;Intel Xeon E5-1428L v2;;3889.36;2014;LGA1356;6 / 12;6 / 12;2200 MHz;2400 MHz;6x32 + 6x32;6x256;15360;нет;3 chann.DDR3-1600;PCI Express 3.024 lines;22 nm;60 W;встраиваемый
1383;Intel Core i7-8665U;;3882.96;2019;BGA1528;4 / 8;4 / 8;1900 MHz;4800 MHz;4x32 + 4x32;4x256;8192;Intel UHD Graphics 620300 - 1150 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;мобильный
1384;Intel Core i7-4870HQ;;3880.29;2014;BGA1364;4 / 8;4 / 8;2500 MHz;3700 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1200 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1385;AMD Ryzen 3 2200G;;3879.67;2018;Socket AM4;4 / 4;4 / 4;3500 MHz;3700 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81100 MHz, 512 shaders;2 chann.DDR4-2933;PCI Express 3.08 lines;14 nm;65 W;десктопный
1386;Intel Core i3-10100TE;;3878.09;2020;LGA1200;4 / 8;4 / 8;2300 MHz;3600 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 630350 - 1100 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;35 W;встраиваемый
1387;Intel Xeon E5-2637 v2;;3866.56;2013;LGA2011;4 / 8;4 / 8;3500 MHz;3800 MHz;4x32 + 4x32;256x4;15360;нет;4 chann.DDR3-1866;PCI Express 3.040 lines;22 nm;130 W;серверный
1388;Intel Xeon E5-2640;;3863.04;2012;LGA2011;6 / 12;6 / 12;2500 MHz;3000 MHz;6x32 + 6x32;256x6;15360;нет;4 chann.DDR3-1333;PCI Express 3.040 lines;32 nm;95 W;серверный
1389;Intel Core i7-5850HQ;;3858.76;2015;BGA1364;4 / 8;4 / 8;2700 MHz;3600 MHz;32+32x4;256x4;6144;Intel Iris Pro Graphics 6200300 - 1100 MHz;2 chann.LPDDR3-1866;PCI Express 3.016 lines;14 nm;47 W;мобильный
1390;Intel Xeon D-1622;;3857.78;2019;BGA1667;4 / 8;4 / 8;2600 MHz;3200 MHz;4x32 + 4x32;256x4;6144;нет;2 chann.DDR4-2133;PCI Express 3.032 lines;14 nm;40 W;встраиваемый
1391;Intel Core i5-6600K;;3856.24;2015;LGA1151-1;4 / 4;4 / 4;3500 MHz;3900 MHz;4x32 + 4x32;256x4;6144;Intel HD Graphics 530350 - 1150 MHz, 24 exec. units;2 chann.DDR4-2133;PCI Express 3.016 lines;14 nm;91 W;десктопный
1392;Intel Xeon E3-1230 v2;;3848.32;2012;LGA1155;4 / 8;4 / 8;3300 MHz;3700 MHz;4x32 + 4x32;256x4;8192;нет;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;69 W;серверный
1393;Intel Xeon E5-2630;;3845.87;2012;LGA2011;6 / 12;6 / 12;2300 MHz;2800 MHz;6x32 + 6x32;256x6;15360;нет;4 chann.DDR3-1333;PCI Express 3.040 lines;32 nm;95 W;серверный
1394;AMD Ryzen 7 2700U;;3839.51;2017;Socket FP5;4 / 8;4 / 8;2200 MHz;3800 MHz;4x64 + 4x32;4x512;4096;Radeon RX Vega 101300 MHz, 640 shaders;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;мобильный
1395;Intel Xeon E3-1265L v3;;3839.36;2013;LGA1150;4 / 8;4 / 8;2500 MHz;3700 MHz;32+32x4;256x4;8192;Intel HD Graphics350 - 1200 MHz;2 chann.DDR3-1600;PCI Express 3.016 lines;22 nm;45 W;серверный
1396;Intel Xeon E3-1240 v2;;3837.55;2012;LGA1155;4 / 8;4 / 8;3400 MHz;3800 MHz;4x32 + 4x32;256x4;8192;нет;2 chann.DDR3-1600;PCI Express 3.020 lines;22 nm;69 W;серверный
1397;Intel Xeon E5-4617;;3834.39;2012;LGA2011;6 / 6;6 / 6;2900 MHz;3400 MHz;6x32 + 6x32;256x6;15360;нет;4 chann.DDR3-1600;PCI Express 3.040 lines;32 nm;130 W;серверный
1398;AMD Ryzen 5 3450U;;3832.29;2020;Socket FP5;4 / 8;4 / 8;2100 MHz;3500 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81200 MHz, 512 shaders;2 chann.DDR4-2400;PCI Express 3.012 lines;12 nm;15 W;мобильный
1399;Intel Core i3-9300T;;3831.61;2019;LGA1151-2;4 / 4;4 / 4;3200 MHz;3800 MHz;4x32 + 4x32;4x256;8192;Intel UHD Graphics 630350 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;35 W;десктопный
1400;Intel Core i3-1215UL;;3830.84;2022;LGA1700;6 / 8;6 / 8;1200 MHz;4400 MHz;2x32 + 2x48 | 4x32 + 4x64;4608;10240;Iris Xe Graphics64 exec. units, 300 - 1100 MHz;2 chann.DDR5-4800;PCI Express 4.020 lines;10 nm;15 W;встраиваемый
1401;Intel Core i3-8300;;3824.32;2018;LGA1151-2;4 / 4;4 / 4;3700 MHz;нет;4x32 + 4x32;4x256;8192;Intel UHD Graphics 630350 - 1150 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;62 W;десктопный
1402;Intel Xeon E5-2620 v2;;3823.15;2013;LGA2011;6 / 12;6 / 12;2100 MHz;2600 MHz;6x32 + 6x32;256x6;15360;нет;4 chann.DDR3-1600;PCI Express 3.040 lines;22 nm;80 W;серверный
1403;Intel Core i5-10210U;;3813.69;2019;BGA1528;4 / 8;4 / 8;1600 MHz;4200 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 620300 - 1150 MHz;2 chann.LPDDR3-2133;PCI Express 3.016 lines;14 nm;15 W;мобильный
1404;Intel Xeon E3-1240L v5;;3808.95;2015;LGA1151-1;4 / 8;4 / 8;2100 MHz;3200 MHz;4x32 + 4x32;4x256;8192;нет;2 chann.DDR4-2133;PCI Express 3.016 lines;14 nm;25 W;серверный
1405;AMD Ryzen 3 PRO 3200GE;;3807.31;2019;Socket AM4;4 / 4;4 / 4;3300 MHz;3800 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81200 MHz, 512 shaders;2 chann.DDR4-2933;PCI Express 3.08 lines;12 nm;35 W;десктопный
1406;Intel Core i7-4790T;;3803.12;2014;LGA1150;4 / 8;4 / 8;2700 MHz;3900 MHz;32+32x4;256x4;8192;Intel HD Graphics 4600350 - 1200 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;45 W;десктопный
1407;Intel Core i7-8650U;;3802.34;2017;BGA1356;4 / 8;4 / 8;1900 MHz;4200 MHz;4x32 + 4x32;4x256;8192;Intel UHD Graphics 620300 - 1150 MHz;2 chann.DDR4-2400;PCI Express 3.012 lines;14 nm;15 W;мобильный
1408;Intel Xeon X5660;;3800.99;2010;LGA1366;6 / 12;6 / 12;2800 MHz;3200 MHz;6x32 + 6x32;256x6;12288;нет;3 chann.DDR3-1333;нет;32 nm;95 W;серверный
1409;Intel Core i7-3770S;;3795.57;2012;LGA1155;4 / 8;4 / 8;3100 MHz;3900 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics 4000650 - 1150 MHz, 16 exec. units;2 chann.DDR3-1600;PCI Express 3.016 lines;22 nm;65 W;десктопный
1410;Intel Xeon E3-1505L v6;;3784.88;2017;BGA1440;4 / 8;4 / 8;2200 MHz;3000 MHz;4x32 + 4x32;4x256;8192;Intel HD Graphics P630350 - 1000 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;25 W;встраиваемый
1411;AMD Ryzen 7 3700U;;3782.72;2019;Socket FP5;4 / 8;4 / 8;2300 MHz;4000 MHz;4x64 + 4x32;4x512;4096;Radeon RX Vega 101400 MHz, 640 shaders;2 chann.DDR4-2400;PCI Express 3.012 lines;12 nm;15 W;мобильный
1412;Intel Core i7-4860HQ;;3781.51;2014;BGA1364;4 / 8;4 / 8;2400 MHz;3600 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1200 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1413;Intel Xeon E3-1268L v5;;3779.15;2015;LGA1151-1;4 / 8;4 / 8;2400 MHz;3400 MHz;4x32 + 4x32;4x256;8192;Intel HD Graphics P530350 - 1000 MHz;2 chann.DDR4-2133;PCI Express 3.016 lines;14 nm;35 W;встраиваемый
1414;Intel Xeon E3-1275L v3;;3778.57;2014;LGA1150;4 / 8;4 / 8;2700 MHz;3900 MHz;32+32x4;256x4;8192;Intel HD Graphics350 - 1200 MHz;2 chann.DDR3-1600;PCI Express 3.016 lines;22 nm;45 W;серверный
1415;Intel Core i7-5700HQ;;3772.32;2015;BGA1364;4 / 8;4 / 8;2700 MHz;3500 MHz;32+32x4;256x4;6144;Intel HD Graphics 5600300 - 1050 MHz;2 chann.LPDDR3-1866;PCI Express 3.016 lines;14 nm;47 W;мобильный
1416;Intel Xeon X5670;;3753.1;2010;LGA1366;6 / 12;6 / 12;2930 MHz;3330 MHz;6x32 + 6x32;256x6;12288;нет;3 chann.DDR3-1333;нет;32 nm;95 W;серверный
1417;Intel Core i7-4910MQ;;3751.61;2014;PGA946;4 / 8;4 / 8;2900 MHz;3900 MHz;32+32x4;256x4;8192;Intel HD Graphics 4600400 - 1300 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1418;Intel Core i7-4760HQ;;3735.75;2014;BGA1364;4 / 8;4 / 8;2100 MHz;3300 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1200 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1419;Intel Core i3-8100;;3729.15;2017;LGA1151-2;4 / 4;4 / 4;3600 MHz;нет;4x32 + 4x32;4x256;6144;Intel UHD Graphics 630350 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;65 W;десктопный
1420;Intel Xeon E5-2420 v2;;3725.3;2014;LGA1356;6 / 12;6 / 12;2200 MHz;2700 MHz;6x32 + 6x32;256x6;15360;нет;3 chann.DDR3-1600;PCI Express 3.024 lines;22 nm;80 W;серверный
1421;Intel Core i5-6600;;3723.41;2015;LGA1151-1;4 / 4;4 / 4;3300 MHz;3900 MHz;4x32 + 4x32;256x4;6144;Intel HD Graphics 530350 - 1150 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;14 nm;65 W;десктопный
1422;Intel Core i7-4900MQ;;3719.92;2013;PGA946;4 / 8;4 / 8;2800 MHz;3800 MHz;32+32x4;256x4;8192;Intel HD Graphics 4600400 - 1300 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1423;AMD FX-8370;;3717.58;2014;Socket AM3+;8 / 8;8 / 8;4000 MHz;4300 MHz;8x16+4x64;4x2048;8196;нет;2 chann.DDR3-1866;нет;32 nm;125 W;десктопный
1424;AMD FX-9370;;3714.96;2013;Socket AM3+;8 / 8;8 / 8;4400 MHz;4700 MHz;8x16+4x64;4x2048;8192;нет;2 chann.DDR3-1866;нет;32 nm;220 W;десктопный
1425;Intel Core i7-4770HQ;;3708.61;2014;BGA1364;4 / 8;4 / 8;2200 MHz;3400 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1200 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1426;AMD Opteron 6276;;3704.79;2011;Socket G34;16 / 16;16 / 16;2300 MHz;3200 MHz;16x16+8x64;8x2048;16384;нет;4 chann.DDR3-1600;нет;32 nm;115 W;серверный
1427;AMD Ryzen 3 PRO 2200GE;;3702.02;2018;Socket AM4;4 / 4;4 / 4;3200 MHz;3600 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81100 MHz, 512 shaders;2 chann.DDR4-2933;PCI Express 3.08 lines;14 nm;35 W;десктопный
1428;Intel Xeon E5-2650L;;3700.15;2012;LGA2011;8 / 16;8 / 16;1800 MHz;2300 MHz;8x32 + 8x32;256x8;20480;нет;4 chann.DDR3-1600;PCI Express 3.040 lines;32 nm;70 W;серверный
1429;AMD Opteron 6282 SE;;3692.38;2011;Socket G34;16 / 16;16 / 16;2600 MHz;3300 MHz;16x16+8x64;8x2048;16384;нет;4 chann.DDR3 1600;нет;32 nm;140 W;серверный
1430;AMD Ryzen 3 PRO 1200;;3691.18;2017;Socket AM4;4 / 4;4 / 4;3100 MHz;3400 MHz;4x64 + 4x32;4x512;8192;нет;2 chann.DDR4-2666;PCI Express 3.024 lines;14 nm;65 W;десктопный
1431;Intel Core i3-8100B;;3666.98;2018;BGA1440;4 / 4;4 / 4;3600 MHz;нет;4x32 + 4x32;4x256;6144;Intel UHD Graphics 630350 - 1050 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;65 W;мобильный
1432;Intel Core i7-6700TE;;3663.45;2015;LGA1151-1;4 / 8;4 / 8;2400 MHz;3400 MHz;4x32 + 4x32;4x256;8192;Intel HD Graphics 530350 - 1000 MHz, 24 ex.units;2 chann.DDR4-2133;PCI Express 3.016 lines;14 nm;35 W;встраиваемый
1433;Intel Core i7-2600;;3661.46;2011;LGA1155;4 / 8;4 / 8;3400 MHz;3800 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics 2000850 - 1350 MHz, 6 exec. units;2 chann.DDR3-1333;PCI Express 2.016 lines;32 nm;95 W;десктопный
1434;Intel Core i3-1115G4E;;3659.67;2020;BGA1449;2 / 4;2 / 4;2200 MHz;3900 MHz;2x32 + 2x48;2x1280;6144;Iris Xe Graphics G4 48EU300 - 1250 MHz;2 chann.LPDDR4x-3733;PCI Express 4.04 lines;10 nm;15 W;встраиваемый
1435;Intel Core i7-4850HQ;;3649;2013;BGA1364;4 / 8;4 / 8;2300 MHz;3500 MHz;4x32 + 4x32;4x256;6144;Intel Iris Pro Graphics 5200200 - 1200 MHz, 40 ex.units;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1436;AMD FX-8350;;3647.3;2012;Socket AM3+;8 / 8;8 / 8;4000 MHz;4400 MHz;8x16+4x64;4x2048;8192;нет;2 chann.DDR3-1866;нет;32 nm;125 W;десктопный
1437;AMD EPYC 3101;;3643.82;2018;;4 / 4;4 / 4;2100 MHz;2900 MHz;4x64 + 4x32;4x512;8192;нет;2 chann.DDR4-2133;PCI Express 3.032 lines;14 nm;35 W;встраиваемый
1438;AMD Opteron 6344;;3642.03;2012;Socket G34;12 / 12;12 / 12;2600 MHz;2900 MHz;6x64 + 12x16;6x2048;16384;нет;4 chann.LRDIMM-1333;нет;32 nm;115 W;серверный
1439;Intel Xeon E5-1620;;3635.14;2012;LGA2011;4 / 8;4 / 8;3600 MHz;3800 MHz;4x32 + 4x32;256x4;10240;нет;4 chann.DDR3-1600;PCI Express 3.040 lines;32 nm;130 W;серверный
1440;Intel Core i7-4770T;;3631.54;2013;LGA1150;4 / 8;4 / 8;2500 MHz;3700 MHz;32+32x4;256x4;8192;Intel HD Graphics 4600350 - 1200 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;45 W;десктопный
1441;Intel Xeon E5-4610;;3625.79;2012;LGA2011;6 / 12;6 / 12;2400 MHz;2900 MHz;6x32 + 6x32;256x6;15360;нет;4 chann.DDR3-1333;PCI Express 3.040 lines;32 nm;95 W;серверный
1442;Intel Core i7-4810MQ;;3624.89;2014;PGA946;4 / 8;4 / 8;2800 MHz;3800 MHz;32+32x4;256x4;6144;Intel HD Graphics 4600400 - 1300 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1443;Intel Core i5-7500;;3624.78;2017;LGA1151-1;4 / 4;4 / 4;3400 MHz;3800 MHz;4x32+4x32;4x256;6144;Intel HD Graphics 630 350 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;65 W;десктопный
1444;AMD Ryzen 5 2500U;;3623.84;2017;Socket FP5;4 / 8;4 / 8;2000 MHz;3600 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81100 MHz, 512 shaders;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;мобильный
1445;AMD Ryzen V1404I;;3617.93;2019;Socket FP5;4 / 8;4 / 8;2000 MHz;3600 MHz;4x64 + 4x32;4x512;4096;Radeon Vega 81100 MHz, 512 shaders;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;12 W;встраиваемый
1446;Intel Core i5-8350U;;3608.5;2017;BGA1356;4 / 8;4 / 8;1700 MHz;3600 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 620300 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.012 lines;14 nm;15 W;мобильный
1447;Intel Core i7-3840QM;;3605.84;2012;PGA988;4 / 8;4 / 8;2800 MHz;3800 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics 4000650 - 1300 MHz, 16 exec. units;2 chann.DDR3L-RS-1600;PCI Express 3.016 lines;22 nm;45 W;мобильный
1448;Intel Xeon E3-1225 v5;;3596.02;2015;LGA1151-1;4 / 4;4 / 4;3300 MHz;3700 MHz;4x32 + 4x32;4x256;8192;Intel HD Graphics P530350 - 1150 MHz;2 chann.DDR4-2133;PCI Express 3.016 lines;14 nm;80 W;серверный
1449;Intel Core i7-3940XM;;3593.88;2012;PGA988;4 / 8;4 / 8;3000 MHz;3900 MHz;4x32 + 4x32;256x4;8192;Intel HD Graphics 4000650 - 1350 MHz, 16 exec. units;2 chann.DDR3L-RS-1600;PCI Express 3.016 lines;22 nm;55 W;мобильный
1450;Intel Xeon E3-1268L v3;;3587.68;2013;LGA1150;4 / 8;4 / 8;2300 MHz;3300 MHz;4x32 + 4x32;4x256;8192;Intel HD Graphics P4600350 - 1000 MHz, 20 ex.units;2 chann.DDR3-1600;PCI Express 3.016 lines;22 nm;45 W;встраиваемый
1451;Intel Core i7-3820;;3585.68;2012;LGA2011;4 / 8;4 / 8;3600 MHz;3800 MHz;4x32 + 4x32;256x4;10240;нет;4 chann.DDR3-1600;PCI Express 2.040 lines;32 nm;130 W;десктопный
1452;Intel Core i7-4710MQ;;3582.26;2014;PGA946;4 / 8;4 / 8;2500 MHz;3500 MHz;32+32x4;256x4;6144;Intel HD Graphics 4600400 - 1150 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1453;Intel Core i7-8565U;;3575.77;2018;BGA1528;4 / 8;4 / 8;1800 MHz;4600 MHz;4x32 + 4x32;4x256;8192;Intel UHD Graphics 620300 - 1150 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;мобильный
1454;Intel Xeon E-2104G;;3574.34;2018;LGA1151-2;4 / 4;4 / 4;3200 MHz;нет;4x32 + 4x32;4x256;8192;Intel UHD Graphics P630350 - 1150 MHz;2 chann.DDR4-2666;PCI Express 3.016 lines;14 nm;65 W;серверный
1455;Intel Core i5-7600T;;3571.57;2017;LGA1151-1;4 / 4;4 / 4;2800 MHz;3700 MHz;4x32+4x32;4x256;6144;Intel HD Graphics 630 350 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;35 W;десктопный
1456;Intel Xeon E5-2450L v2;;3570.37;2014;LGA1356;10 / 20;10 / 20;1700 MHz;2100 MHz;10x32 + 10x32;256x10;25600;нет;3 chann.DDR3-1600;PCI Express 3.024 lines;22 nm;60 W;серверный
1457;Intel Core i7-4800MQ;;3568.18;2013;PGA946;4 / 8;4 / 8;2700 MHz;3700 MHz;32+32x4;256x4;6144;Intel HD Graphics 4600400 - 1300 MHz;2 chann.DDR3L-1600;PCI Express 3.016 lines;22 nm;47 W;мобильный
1458;Intel Pentium Gold G7400T;;3567.2;2022;LGA1700;2 / 4;2 / 4;3100 MHz;нет;2x48 + 2x32;2560;6144;UHD Graphics 710300 - 1350 MGz;2 chann.DDR5-4800;PCI Express 5.020 lines;10 nm;35 W;десктопный
1459;Intel Xeon E3-1220 v5;;3554.55;2015;LGA1151-1;4 / 4;4 / 4;3000 MHz;3500 MHz;4x32 + 4x32;4x256;8192;нет;2 chann.DDR4-2133;PCI Express 3.016 lines;14 nm;80 W;серверный
1460;Intel Core i5-8265U;;3553.28;2018;BGA1528;4 / 8;4 / 8;1600 MHz;3900 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 620300 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;мобильный
1461;Intel Core i5-8365U;;3552.97;2019;BGA1528;4 / 8;4 / 8;1600 MHz;4100 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 620300 - 1100 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;мобильный
1462;Intel Core i5-8365UE;;3550.93;2019;BGA1528;4 / 8;4 / 8;1600 MHz;4100 MHz;4x32 + 4x32;4x256;6144;Intel UHD Graphics 620300 - 1050 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;15 W;встраиваемый
1463;Intel Core i5-7440EQ;;3550.5;2017;BGA1440;4 / 4;4 / 4;2900 MHz;3600 MHz;4x32 + 4x32;4x256;6144;Intel HD Graphics 630350 - 1000 MHz;2 chann.DDR4-2400;PCI Express 3.016 lines;14 nm;45 W;встраиваемый
